id ,name,district_id,created_at,updated_at,,,,,,,
1,Bumbogo,1,2020-04-11 20:33:01,2020-04-11 20:33:01,,,,,,,
2,Gatsata,1,2020-04-11 20:33:02,2020-04-11 20:33:02,,,,,,,
3,Gikomero,1,2020-04-11 20:33:03,2020-04-11 20:33:03,,,,,,,
4,Gisozi,1,2020-04-11 20:33:04,2020-04-11 20:33:04,,,,,,,
5,Jabana,1,2020-04-11 20:33:05,2020-04-11 20:33:05,,,,,,,
6,Jali,1,2020-04-11 20:33:06,2020-04-11 20:33:06,,,,,,,
7,Kacyiru,1,2020-04-11 20:33:07,2020-04-11 20:33:07,,,,,,,
8,Kimihurura,1,2020-04-11 20:33:08,2020-04-11 20:33:08,,,,,,,
9,Kimiromko,1,2020-04-11 20:33:09,2020-04-11 20:33:09,,,,,,,
10,Kinyinya,1,2020-04-11 20:33:10,2020-04-11 20:33:10,,,,,,,
11,Ndera,1,2020-04-11 20:33:11,2020-04-11 20:33:11,,,,,,,
12,Nduba,1,2020-04-11 20:33:12,2020-04-11 20:33:12,,,,,,,
13,Remera,1,2020-04-11 20:33:13,2020-04-11 20:33:13,,,,,,,
14,Rusororo,1,2020-04-11 20:33:14,2020-04-11 20:33:14,,,,,,,
15,Rutunga,1,2020-04-11 20:33:15,2020-04-11 20:33:15,,,,,,,
16,Gashora,4,2020-04-11 20:33:16,2020-04-11 20:33:16,,,,,,,
17,Juru,4,2020-04-11 20:33:17,2020-04-11 20:33:17,,,,,,,
18,Kamabuye,4,2020-04-11 20:33:18,2020-04-11 20:33:18,,,,,,,
19,Mareba,4,2020-04-11 20:33:19,2020-04-11 20:33:19,,,,,,,
20,Mayange,4,2020-04-11 20:33:20,2020-04-11 20:33:20,,,,,,,
21,Musenyi,4,2020-04-11 20:33:21,2020-04-11 20:33:21,,,,,,,
22,Mwogo,4,2020-04-11 20:33:22,2020-04-11 20:33:22,,,,,,,
23,Ngeruka,4,2020-04-11 20:33:23,2020-04-11 20:33:23,,,,,,,
24,Ntarama,4,2020-04-11 20:33:24,2020-04-11 20:33:24,,,,,,,
25,Nyamata,4,2020-04-11 20:33:25,2020-04-11 20:33:25,,,,,,,
26,Nyarugenge,4,2020-04-11 20:33:26,2020-04-11 20:33:26,,,,,,,
27,Rilima,4,2020-04-11 20:33:27,2020-04-11 20:33:27,,,,,,,
28,Ruhuha,4,2020-04-11 20:33:28,2020-04-11 20:33:28,,,,,,,
29,Rweru,4,2020-04-11 20:33:29,2020-04-11 20:33:29,,,,,,,
30,Shyara,4,2020-04-11 20:33:30,2020-04-11 20:33:30,,,,,,,
31,Bungwe,11,2020-04-11 20:33:01,2020-04-11 20:33:01,,,,,,,
32,Butaro,11,2020-04-11 20:33:02,2020-04-11 20:33:02,,,,,,,
33,Cyanika,11,2020-04-11 20:33:03,2020-04-11 20:33:03,,,,,,,
34,Cyeru,11,2020-04-11 20:33:04,2020-04-11 20:33:04,,,,,,,
35,Gahunga,11,2020-04-11 20:33:05,2020-04-11 20:33:05,,,,,,,
36,Gatebe,11,2020-04-11 20:33:06,2020-04-11 20:33:06,,,,,,,
37,Gitovu,11,2020-04-11 20:33:07,2020-04-11 20:33:07,,,,,,,
38,Kagogo,11,2020-04-11 20:33:08,2020-04-11 20:33:08,,,,,,,
39,Kinoni,11,2020-04-11 20:33:09,2020-04-11 20:33:09,,,,,,,
40,Kinyababa,11,2020-04-11 20:33:10,2020-04-11 20:33:10,,,,,,,
41,Kivuye,11,2020-04-11 20:33:11,2020-04-11 20:33:11,,,,,,,
42,Nemba,11,2020-04-11 20:33:12,2020-04-11 20:33:12,,,,,,,
43,Rugarama,11,2020-04-11 20:33:13,2020-04-11 20:33:13,,,,,,,
44,Rugengabari,11,2020-04-11 20:33:14,2020-04-11 20:33:14,,,,,,,
45,Ruhunde,11,2020-04-11 20:33:15,2020-04-11 20:33:15,,,,,,,
46,Rusarabuye,11,2020-04-11 20:33:16,2020-04-11 20:33:16,,,,,,,
47,Rwerere,11,2020-04-11 20:33:17,2020-04-11 20:33:17,,,,,,,
48,Busengo,12,2020-04-11 20:33:18,2020-04-11 20:33:18,,,,,,,
49,Coko,12,2020-04-11 20:33:19,2020-04-11 20:33:19,,,,,,,
50,Cyabingo,12,2020-04-11 20:33:20,2020-04-11 20:33:20,,,,,,,
51,Gakenke,12,2020-04-11 20:33:21,2020-04-11 20:33:21,,,,,,,
52,Gashenyi,12,2020-04-11 20:33:22,2020-04-11 20:33:22,,,,,,,
53,Janja,12,2020-04-11 20:33:23,2020-04-11 20:33:23,,,,,,,
54,Kamubuga,12,2020-04-11 20:33:24,2020-04-11 20:33:24,,,,,,,
55,Karambo,12,2020-04-11 20:33:25,2020-04-11 20:33:25,,,,,,,
56,Kivuruga,12,2020-04-11 20:33:26,2020-04-11 20:33:26,,,,,,,
57,Mataba,12,2020-04-11 20:33:27,2020-04-11 20:33:27,,,,,,,
58,Minazi,12,2020-04-11 20:33:28,2020-04-11 20:33:28,,,,,,,
59,Mugunga,12,2020-04-11 20:33:29,2020-04-11 20:33:29,,,,,,,
60,Muhondo,12,2020-04-11 20:33:01,2020-04-11 20:33:01,,,,,,,
61,Muyongwe,12,2020-04-11 20:33:02,2020-04-11 20:33:02,,,,,,,
62,Muzo,12,2020-04-11 20:33:03,2020-04-11 20:33:03,,,,,,,
63,Nemba,12,2020-04-11 20:33:04,2020-04-11 20:33:04,,,,,,,
64,Ruli,12,2020-04-11 20:33:05,2020-04-11 20:33:05,,,,,,,
65,Rusasa,12,2020-04-11 20:33:06,2020-04-11 20:33:06,,,,,,,
66,Rushashi,12,2020-04-11 20:33:07,2020-04-11 20:33:07,,,,,,,
67,Gasange,5,2020-04-11 20:33:08,2020-04-11 20:33:08,,,,,,,
68,Gatsibo,5,2020-04-11 20:33:09,2020-04-11 20:33:09,,,,,,,
69,Gitoki,5,2020-04-11 20:33:10,2020-04-11 20:33:10,,,,,,,
70,Kabarore,5,2020-04-11 20:33:11,2020-04-11 20:33:11,,,,,,,
71,Kageyo,5,2020-04-11 20:33:12,2020-04-11 20:33:12,,,,,,,
72,Kiramuruzi,5,2020-04-11 20:33:13,2020-04-11 20:33:13,,,,,,,
73,Kiziguro,5,2020-04-11 20:33:14,2020-04-11 20:33:14,,,,,,,
74,Muhura,5,2020-04-11 20:33:15,2020-04-11 20:33:15,,,,,,,
75,Murambi,5,2020-04-11 20:33:16,2020-04-11 20:33:16,,,,,,,
76,Ngarama,5,2020-04-11 20:33:17,2020-04-11 20:33:17,,,,,,,
77,Nyagihanga,5,2020-04-11 20:33:18,2020-04-11 20:33:18,,,,,,,
78,Remera,5,2020-04-11 20:33:19,2020-04-11 20:33:19,,,,,,,
79,Rugarama,5,2020-04-11 20:33:20,2020-04-11 20:33:20,,,,,,,
80,Rwimbogo,5,2020-04-11 20:33:21,2020-04-11 20:33:21,,,,,,,
81,Bukure,13,2020-04-11 20:33:22,2020-04-11 20:33:22,,,,,,,
82,Bwisige,13,2020-04-11 20:33:23,2020-04-11 20:33:23,,,,,,,
83,Byumba,13,2020-04-11 20:33:24,2020-04-11 20:33:24,,,,,,,
84,Cyumba,13,2020-04-11 20:33:25,2020-04-11 20:33:25,,,,,,,
85,Giti,13,2020-04-11 20:33:26,2020-04-11 20:33:26,,,,,,,
86,Kageyo,13,2020-04-11 20:33:27,2020-04-11 20:33:27,,,,,,,
87,Kaniga,13,2020-04-11 20:33:28,2020-04-11 20:33:28,,,,,,,
88,Manyagiro,13,2020-04-11 20:33:29,2020-04-11 20:33:29,,,,,,,
89,Miyove,13,2020-04-11 20:33:30,2020-04-11 20:33:30,,,,,,,
90,Mukarange,13,2020-04-11 20:33:31,2020-04-11 20:33:31,,,,,,,
91,Muko,13,2020-04-11 20:33:32,2020-04-11 20:33:32,,,,,,,
92,Mutete,13,2020-04-11 20:33:33,2020-04-11 20:33:33,,,,,,,
93,Nyamiyaga,13,2020-04-11 20:33:34,2020-04-11 20:33:34,,,,,,,
94,Nyankenke,13,2020-04-11 20:33:35,2020-04-11 20:33:35,,,,,,,
95,Rubaya,13,2020-04-11 20:33:36,2020-04-11 20:33:36,,,,,,,
96,Rukomo,13,2020-04-11 20:33:37,2020-04-11 20:33:37,,,,,,,
97,Rushaki,13,2020-04-11 20:33:38,2020-04-11 20:33:38,,,,,,,
98,Rutare,13,2020-04-11 20:33:39,2020-04-11 20:33:39,,,,,,,
99,Ruvune,13,2020-04-11 20:33:40,2020-04-11 20:33:40,,,,,,,
100,Rwamiko,13,2020-04-11 20:33:41,2020-04-11 20:33:41,,,,,,,
101,Shangasha,13,2020-04-11 20:33:42,2020-04-11 20:33:42,,,,,,,
102,Gahanga,2,2020-04-11 20:33:43,2020-04-11 20:33:43,,,,,,,
103,Gatenga,2,2020-04-11 20:33:44,2020-04-11 20:33:44,,,,,,,
104,Gikondo,2,2020-04-11 20:33:45,2020-04-11 20:33:45,,,,,,,
105,Kagarama,2,2020-04-11 20:33:46,2020-04-11 20:33:46,,,,,,,
106,Kanombe,2,2020-04-11 20:33:47,2020-04-11 20:33:47,,,,,,,
107,Kicukiro,2,2020-04-11 20:33:48,2020-04-11 20:33:48,,,,,,,
108,Kigarama,2,2020-04-11 20:33:49,2020-04-11 20:33:49,,,,,,,
109,Masaka,2,2020-04-11 20:33:50,2020-04-11 20:33:50,,,,,,,
110,Niboye,2,2020-04-11 20:33:51,2020-04-11 20:33:51,,,,,,,
111,Nyarugunga,2,2020-04-11 20:33:52,2020-04-11 20:33:52,,,,,,,
112,Gikonko,16,2020-04-11 20:33:53,2020-04-11 20:33:53,,,,,,,
113,Gishubi,16,2020-04-11 20:33:54,2020-04-11 20:33:54,,,,,,,
114,Kansi,16,2020-04-11 20:33:55,2020-04-11 20:33:55,,,,,,,
115,Kibirizi,16,2020-04-11 20:33:56,2020-04-11 20:33:56,,,,,,,
116,Kigembe,16,2020-04-11 20:33:57,2020-04-11 20:33:57,,,,,,,
117,Mamba,16,2020-04-11 20:33:58,2020-04-11 20:33:58,,,,,,,
118,Muganza,16,2020-04-11 20:33:01,2020-04-11 20:33:01,,,,,,,
119,Mugombwa,16,2020-04-11 20:33:02,2020-04-11 20:33:02,,,,,,,
120,Mukingo,16,2020-04-11 20:33:03,2020-04-11 20:33:03,,,,,,,
121,Musha,16,2020-04-11 20:33:04,2020-04-11 20:33:04,,,,,,,
122,Ndora,16,2020-04-11 20:33:05,2020-04-11 20:33:05,,,,,,,
123,Nyanza,16,2020-04-11 20:33:06,2020-04-11 20:33:06,,,,,,,
124,Save,16,2020-04-11 20:33:07,2020-04-11 20:33:07,,,,,,,
125,Gishamvu,17,2020-04-11 20:33:08,2020-04-11 20:33:08,,,,,,,
126,Huye,17,2020-04-11 20:33:09,2020-04-11 20:33:09,,,,,,,
127,Karama,17,2020-04-11 20:33:10,2020-04-11 20:33:10,,,,,,,
128,Kigoma,17,2020-04-11 20:33:11,2020-04-11 20:33:11,,,,,,,
129,Kinazi,17,2020-04-11 20:33:12,2020-04-11 20:33:12,,,,,,,
130,Maraba,17,2020-04-11 20:33:13,2020-04-11 20:33:13,,,,,,,
131,Mbazi,17,2020-04-11 20:33:14,2020-04-11 20:33:14,,,,,,,
132,Mukura,17,2020-04-11 20:33:15,2020-04-11 20:33:15,,,,,,,
133,Ngoma,17,2020-04-11 20:33:16,2020-04-11 20:33:16,,,,,,,
134,Ruhashya,17,2020-04-11 20:33:17,2020-04-11 20:33:17,,,,,,,
135,Rusatira,17,2020-04-11 20:33:18,2020-04-11 20:33:18,,,,,,,
136,Rwaniro,17,2020-04-11 20:33:19,2020-04-11 20:33:19,,,,,,,
137,Simbi,17,2020-04-11 20:33:20,2020-04-11 20:33:20,,,,,,,
138,Tumba,17,2020-04-11 20:33:21,2020-04-11 20:33:21,,,,,,,
139,Gahini,6,2020-04-11 20:33:22,2020-04-11 20:33:22,,,,,,,
140,Kabare,6,2020-04-11 20:33:23,2020-04-11 20:33:23,,,,,,,
141,Kabarondo,6,2020-04-11 20:33:24,2020-04-11 20:33:24,,,,,,,
142,Mukarange,6,2020-04-11 20:33:25,2020-04-11 20:33:25,,,,,,,
143,Murama,6,2020-04-11 20:33:26,2020-04-11 20:33:26,,,,,,,
144,Murundi,6,2020-04-11 20:33:27,2020-04-11 20:33:27,,,,,,,
145,Mwiri,6,2020-04-11 20:33:28,2020-04-11 20:33:28,,,,,,,
146,Ndego,6,2020-04-11 20:33:29,2020-04-11 20:33:29,,,,,,,
147,Nyamirama,6,2020-04-11 20:33:30,2020-04-11 20:33:30,,,,,,,
148,Rukara,6,2020-04-11 20:33:31,2020-04-11 20:33:31,,,,,,,
149,Ruramira,6,2020-04-11 20:33:32,2020-04-11 20:33:32,,,,,,,
150,Rwinkwavu,6,2020-04-11 20:33:33,2020-04-11 20:33:33,,,,,,,
151,Gacurabwenge,18,2020-04-11 20:33:34,2020-04-11 20:33:34,,,,,,,
152,Karama,18,2020-04-11 20:33:35,2020-04-11 20:33:35,,,,,,,
153,Kayenzi,18,2020-04-11 20:33:36,2020-04-11 20:33:36,,,,,,,
154,Kayumbu,18,2020-04-11 20:33:37,2020-04-11 20:33:37,,,,,,,
155,Mugina,18,2020-04-11 20:33:38,2020-04-11 20:33:38,,,,,,,
156,Musambira,18,2020-04-11 20:33:39,2020-04-11 20:33:39,,,,,,,
157,Ngamba,18,2020-04-11 20:33:40,2020-04-11 20:33:40,,,,,,,
158,Nyamiyaga,18,2020-04-11 20:33:41,2020-04-11 20:33:41,,,,,,,
159,Nyarubaka,18,2020-04-11 20:33:42,2020-04-11 20:33:42,,,,,,,
160,Rugarika,18,2020-04-11 20:33:43,2020-04-11 20:33:43,,,,,,,
161,Rukoma,18,2020-04-11 20:33:44,2020-04-11 20:33:44,,,,,,,
162,Runda,18,2020-04-11 20:33:45,2020-04-11 20:33:45,,,,,,,
163,Bwishyura,24,2020-04-11 20:33:46,2020-04-11 20:33:46,,,,,,,
164,Gishari,24,2020-04-11 20:33:47,2020-04-11 20:33:47,,,,,,,
165,Gishyita,24,2020-04-11 20:33:48,2020-04-11 20:33:48,,,,,,,
166,Gitesi,24,2020-04-11 20:33:49,2020-04-11 20:33:49,,,,,,,
167,Mubuga,24,2020-04-11 20:33:50,2020-04-11 20:33:50,,,,,,,
168,Murambi,24,2020-04-11 20:33:51,2020-04-11 20:33:51,,,,,,,
169,Murundi,24,2020-04-11 20:33:52,2020-04-11 20:33:52,,,,,,,
170,Mutuntu,24,2020-04-11 20:33:53,2020-04-11 20:33:53,,,,,,,
171,Rubengera,24,2020-04-11 20:33:54,2020-04-11 20:33:54,,,,,,,
172,Rugabano,24,2020-04-11 20:33:55,2020-04-11 20:33:55,,,,,,,
173,Ruganda,24,2020-04-11 20:33:56,2020-04-11 20:33:56,,,,,,,
174,Rwankuba,24,2020-04-11 20:33:57,2020-04-11 20:33:57,,,,,,,
175,Twumba,24,2020-04-11 20:33:58,2020-04-11 20:33:58,,,,,,,
176,Gahara,7,2020-04-11 20:33:01,2020-04-11 20:33:01,,,,,,,
177,Gatore,7,2020-04-11 20:33:02,2020-04-11 20:33:02,,,,,,,
178,Kigarama,7,2020-04-11 20:33:03,2020-04-11 20:33:03,,,,,,,
179,Kigina,7,2020-04-11 20:33:04,2020-04-11 20:33:04,,,,,,,
180,Kirehe,7,2020-04-11 20:33:05,2020-04-11 20:33:05,,,,,,,
181,Mahama,7,2020-04-11 20:33:06,2020-04-11 20:33:06,,,,,,,
182,Mpanga,7,2020-04-11 20:33:07,2020-04-11 20:33:07,,,,,,,
183,Musaza,7,2020-04-11 20:33:08,2020-04-11 20:33:08,,,,,,,
184,Mushikiri,7,2020-04-11 20:33:09,2020-04-11 20:33:09,,,,,,,
185,Nasho,7,2020-04-11 20:33:10,2020-04-11 20:33:10,,,,,,,
186,Nyamugari,7,2020-04-11 20:33:11,2020-04-11 20:33:11,,,,,,,
187,Nyarubuye,7,2020-04-11 20:33:12,2020-04-11 20:33:12,,,,,,,
188,Cyeza,19,2020-04-11 20:33:13,2020-04-11 20:33:13,,,,,,,
189,Kabacuzi,19,2020-04-11 20:33:14,2020-04-11 20:33:14,,,,,,,
190,Kibangu,19,2020-04-11 20:33:15,2020-04-11 20:33:15,,,,,,,
191,Kiyumba,19,2020-04-11 20:33:16,2020-04-11 20:33:16,,,,,,,
192,Muhanga,19,2020-04-11 20:33:17,2020-04-11 20:33:17,,,,,,,
193,Mushishiro,19,2020-04-11 20:33:18,2020-04-11 20:33:18,,,,,,,
194,Nyabinoni,19,2020-04-11 20:33:19,2020-04-11 20:33:19,,,,,,,
195,Nyamabuye,19,2020-04-11 20:33:20,2020-04-11 20:33:20,,,,,,,
196,Nyarusange,19,2020-04-11 20:33:21,2020-04-11 20:33:21,,,,,,,
197,Rongi,19,2020-04-11 20:33:22,2020-04-11 20:33:22,,,,,,,
198,Rugendabari,19,2020-04-11 20:33:23,2020-04-11 20:33:23,,,,,,,
199,Shyogwe,19,2020-04-11 20:33:24,2020-04-11 20:33:24,,,,,,,
200,Busogo,14,2020-04-11 20:33:25,2020-04-11 20:33:25,,,,,,,
201,Cyuve,14,2020-04-11 20:33:26,2020-04-11 20:33:26,,,,,,,
202,Gacaca,14,2020-04-11 20:33:27,2020-04-11 20:33:27,,,,,,,
203,Gashaki,14,2020-04-11 20:33:28,2020-04-11 20:33:28,,,,,,,
204,Gataraga,14,2020-04-11 20:33:29,2020-04-11 20:33:29,,,,,,,
205,Kimonyi,14,2020-04-11 20:33:30,2020-04-11 20:33:30,,,,,,,
206,Kinigi,14,2020-04-11 20:33:31,2020-04-11 20:33:31,,,,,,,
207,Muhoza,14,2020-04-11 20:33:32,2020-04-11 20:33:32,,,,,,,
208,Muko,14,2020-04-11 20:33:33,2020-04-11 20:33:33,,,,,,,
209,Musanze,14,2020-04-11 20:33:34,2020-04-11 20:33:34,,,,,,,
210,Nkotsi,14,2020-04-11 20:33:35,2020-04-11 20:33:35,,,,,,,
211,Nyange,14,2020-04-11 20:33:36,2020-04-11 20:33:36,,,,,,,
212,Remera,14,2020-04-11 20:33:37,2020-04-11 20:33:37,,,,,,,
213,Rwaza,14,2020-04-11 20:33:38,2020-04-11 20:33:38,,,,,,,
